street_address,location_area,municipality,final_price,price_per_m2,price_change_percent,sold_date,living_area_m2,non_living_area_m2,rooms,plot_area_m2,url
Malma Parkväg 6,Norby,Uppsala kommun,7250000,42151.16,4.0,,172.0,130.0,6.5,1076.0,"/salda/villa-6,5rum-norby-uppsala-kommun-malma-parkvag-6-1774709680329929400"
Norbyvägen 80A,Norby,Uppsala kommun,7550000,48397.44,8.0,,156.0,55.0,7.0,1494.0,/salda/villa-7rum-norby-uppsala-kommun-norbyvagen-80a-5983090611176792906
Skogsmyrsvägen 17,Norby,Uppsala kommun,8900000,45408.16,5.0,,196.0,,8.0,537.0,/salda/villa-8rum-norby-uppsala-kommun-skogsmyrsvagen-17-3702642174579621038
Källarbäcksvägen 63A,Vilan/Nåntuna,Uppsala kommun,6620000,33948.72,4.0,,195.0,,8.0,877.0,/salda/villa-8rum-vilan-nantuna-uppsala-kommun-kallarbacksvagen-63a-1282104266869133174
Blåmesvägen 7A,Sunnersta,Uppsala kommun,6550000,54132.23,10.0,,121.0,121.0,5.0,1005.0,/salda/villa-5rum-sunnersta-uppsala-kommun-blamesvagen-7a-7818259713851001228
Malma bergsväg 11A,Norby,Uppsala kommun,7100000,47651.01,11.0,,149.0,,5.0,864.0,/salda/villa-5rum-norby-uppsala-kommun-malma-bergsvag-11a-4210692634313869157
Kåbovägen 3,Kåbo,Uppsala kommun,11000000,52884.62,0.0,,208.0,104.0,9.0,1193.6,/salda/villa-9rum-kabo-uppsala-kommun-kabovagen-3-5485745114052204965
Dan Anderssonsgatan 5,Nyby/Gamla Uppsala,Uppsala kommun,5410000,34458.6,-2.0,,157.0,,7.0,512.0,/salda/villa-7rum-nyby-gamla-uppsala-uppsala-kommun-dan-anderssonsgatan-5-5446113253467259128
Herrhagsvägen 293,Herrhagen,Uppsala kommun,3900000,31451.61,-2.0,,124.0,,5.0,288.0,/salda/villa-5rum-herrhagen-uppsala-kommun-herrhagsvagen-293-3455505149082967082
Tegelgatan 59,Kungsgärdet,Uppsala kommun,5300000,75714.29,0.0,,70.0,70.0,4.0,505.2,/salda/villa-4rum-kungsgardet-uppsala-kommun-tegelgatan-59-3718168180317475852
Gårdsvägen 16,Bergsbrunna,Uppsala kommun,6990000,33768.12,0.0,,207.0,,6.0,850.0,/salda/villa-6rum-bergsbrunna-uppsala-kommun-gardsvagen-16-3411549642598555534
Åkervägen 19,Sunnersta,Uppsala kommun,4800000,52173.91,37.0,,92.0,92.0,4.0,636.4,/salda/villa-4rum-sunnersta-uppsala-kommun-akervagen-19-860416777550904246
Eriksbergsvägen 44,Eriksberg,Uppsala kommun,6500000,55084.75,-10.0,,118.0,59.0,5.0,103.0,/salda/villa-5rum-eriksberg-uppsala-kommun-eriksbergsvagen-44-1973328455055335012
Stackmästarvägen 6,Valsätra,Uppsala kommun,6500000,58035.71,10.0,,112.0,100.0,7.0,387.0,/salda/villa-7rum-valsatra-uppsala-kommun-stackmastarvagen-6-5775821545158813386
Störvägen 18,Valsätra,Uppsala kommun,6600000,58928.57,,,112.0,100.0,6.0,541.6,/salda/villa-6rum-valsatra-uppsala-kommun-storvagen-18-6578281153929446885
Hildvägen 13,Gamla Uppsala,Uppsala kommun,7000000,59829.06,6.0,,117.0,128.0,8.0,993.0,/salda/villa-8rum-gamla-uppsala-uppsala-kommun-hildvagen-13-4345322458538389719
Hovtångsvägen 3,Valsätra,Uppsala kommun,3520000,33207.55,18.0,,106.0,106.0,8.0,493.0,/salda/villa-8rum-valsatra-uppsala-kommun-hovtangsvagen-3-7578836965657989156
Tuvängsvägen 5,Norby,Uppsala kommun,6775000,53769.84,-14.0,,126.0,69.0,5.0,1924.0,/salda/villa-5rum-norby-uppsala-kommun-tuvangsvagen-5-5399135429802156473
Tallmovägen 2B,Uppsala,Uppsala kommun,7125000,55664.06,19.0,,128.0,166.0,7.0,881.3,/salda/villa-7rum-uppsala-uppsala-kommun-tallmovagen-2b-5744762009492468831
Flottörgatan 4,Bärby Hage,Uppsala kommun,4900000,61250.0,-2.0,,80.0,68.0,5.0,640.0,/salda/villa-5rum-barby-hage-uppsala-kommun-flottorgatan-4-1576684908148061082
Vilanvägen 23,Nåntuna,Uppsala kommun,6500000,41666.67,-3.0,,156.0,96.0,7.0,695.0,/salda/villa-7rum-nantuna-uppsala-kommun-vilanvagen-23-6914193630273005535
Hollandsresan 266,Sävja,Uppsala kommun,2895000,26805.56,0.0,,108.0,,4.0,207.0,/salda/villa-4rum-savja-uppsala-kommun-hollandsresan-266-1634004937202698101
Milstensvägen 41,Herrhagen,Uppsala kommun,6295000,40876.62,0.0,,154.0,38.0,6.0,647.0,/salda/villa-6rum-herrhagen-uppsala-kommun-milstensvagen-41-4023162521537574489
Herrhagsvägen 295,Herrhagen,Uppsala kommun,3870000,31209.68,2.0,,124.0,,5.0,286.0,/salda/villa-5rum-herrhagen-uppsala-kommun-herrhagsvagen-295-3944001755261334738
Radargatan 4,Bärby Hage,Uppsala kommun,8100000,40099.01,-4.0,,202.0,,8.0,1277.0,/salda/villa-8rum-barby-hage-uppsala-kommun-radargatan-4-2523738590294126023
Rotegatan 6,Bärby Hage,Uppsala kommun,5820000,48907.56,-2.0,,119.0,114.0,4.0,732.0,/salda/villa-4rum-barby-hage-uppsala-kommun-rotegatan-6-8622902867017843434
Oxelgatan 8,Uppsala,Uppsala kommun,11450000,59947.64,-4.0,,191.0,76.0,8.0,876.0,/salda/villa-8rum-falhagen-uppsala-kommun-oxelgatan-8-4281725881674485030
Långvägen 22A,Sunnersta,Uppsala kommun,8700000,48603.35,2.0,,179.0,,6.0,1006.0,/salda/villa-6rum-sunnersta-uppsala-kommun-langvagen-22a-6265931477643873791
Statarvägen 11,Norby,Uppsala kommun,7100000,59663.87,6.0,,119.0,119.0,,909.0,/salda/villa-119m2-norby-uppsala-kommun-statarvagen-11-3362717793486954678
Gråbergsvägen 15B,Eriksberg,Uppsala kommun,7550000,60400.0,16.0,,125.0,140.0,6.0,1117.0,/salda/villa-6rum-eriksberg-uppsala-kommun-grabergsvagen-15b-3228627415290636630
Göte Turessons väg 72,Ultuna,Uppsala kommun,7350000,52127.66,7.0,,141.0,,6.0,331.0,/salda/villa-6rum-ultuna-uppsala-kommun-gote-turessons-vag-72-6956739792168955815
Hällkistgatan 17,Uppsala,Uppsala kommun,6060000,55090.91,1.0,,110.0,68.0,4.0,505.2,/salda/villa-4rum-uppsala-uppsala-kommun-hallkistgatan-17-3529310116142549815
Danmarks-Söderby 73,Danmark,Uppsala kommun,2400000,31168.83,-13.0,,77.0,50.0,3.0,1793.0,/salda/villa-3rum-danmark-uppsala-kommun-danmarks-soderby-73-8298040004955372061
Alice Tegnérs väg 5,Gottsunda,Uppsala kommun,2995000,28254.72,0.0,,106.0,,4.0,118.0,/salda/villa-4rum-gottsunda-uppsala-kommun-alice-tegners-vag-5-8251870535863503372
Hartrajet 7,Bergsbrunna,Uppsala kommun,6300000,46323.53,10.0,,136.0,191.0,6.0,977.0,/salda/villa-6rum-bergsbrunna-uppsala-kommun-hartrajet-7-2034947645761332434
Vadmalsvägen 14,Nåntuna,Uppsala kommun,5800000,53703.7,-11.0,,108.0,108.0,7.0,977.0,/salda/villa-7rum-nantuna-uppsala-kommun-vadmalsvagen-14-5944765510318915977
Vadmalsvägen 6,Nåntuna-Vilan,Uppsala kommun,7400000,34905.66,-5.0,,212.0,53.0,8.0,1319.0,/salda/villa-8rum-nantuna-vilan-uppsala-kommun-vadmalsvagen-6-51447226684638989
Vaksala Rörby - Årsta 11:249,Slavsta,Uppsala kommun,6495000,51547.62,-9.0,,126.0,,6.0,943.0,/salda/villa-6rum-slavsta-uppsala-kommun-vaksala-rorby-arsta-11-249-4152417132865947821
Tallbacksvägen 8,Norby,Uppsala kommun,6000000,41958.04,21.0,,143.0,39.0,6.0,1158.0,/salda/villa-6rum-norby-uppsala-kommun-tallbacksvagen-8-5726681402792942298
Storskiftesvägen 32,Valsätra,Uppsala kommun,7995000,55137.93,0.0,,145.0,,6.0,932.0,/salda/villa-6rum-valsatra-uppsala-kommun-storskiftesvagen-32-4149090169154157209
Rubinvägen 17,Herrhagen,Uppsala kommun,4200000,40384.62,5.0,,104.0,7.0,4.0,350.0,/salda/villa-4rum-herrhagen-uppsala-kommun-rubinvagen-17-1549335537166633645
Järpvägen 3A,Sunnersta,Uppsala kommun,5300000,41732.28,6.0,,127.0,,4.0,844.0,/salda/villa-4rum-sunnersta-uppsala-kommun-jarpvagen-3a-3611234916725598506
Kronparksvägen 2,Vilan,Uppsala kommun,5950000,48373.98,2.0,,123.0,123.0,4.0,811.0,/salda/villa-4rum-vilan-uppsala-kommun-kronparksvagen-2-233487094864669126
Bergsbrunna villaväg 25,Bergsbrunna,Uppsala kommun,5400000,46153.85,-4.0,,117.0,90.0,4.0,1392.0,/salda/villa-4rum-bergsbrunna-uppsala-kommun-bergsbrunna-villavag-25-2020606898012044803
Rubinvägen 39,Stenhagen,Uppsala kommun,5250000,43032.79,1.0,,122.0,,4.0,343.0,/salda/villa-4rum-stenhagen-uppsala-kommun-rubinvagen-39-4100213223051436862
Hultvägen 3,Bergsbrunna,Uppsala kommun,5625000,51136.36,7.0,,110.0,149.0,4.0,1013.0,/salda/villa-4rum-bergsbrunna-uppsala-kommun-hultvagen-3-3611625512545768770
Husbyvägen 8,Husbyborg,Uppsala kommun,6100000,32105.26,11.0,,190.0,10.0,9.0,2410.0,/salda/villa-9rum-husbyborg-uppsala-kommun-husbyvagen-8-1631054736069080964
Rörbäcksvägen 22,Nåntuna,Uppsala kommun,5075000,30945.12,-7.0,,164.0,24.0,7.0,760.0,/salda/villa-7rum-nantuna-uppsala-kommun-rorbacksvagen-22-5580644744592082454
Bruksvägen 30A,Eriksberg,Uppsala kommun,6450000,48134.33,-4.0,,134.0,59.0,6.0,780.4,/salda/villa-6rum-eriksberg-uppsala-kommun-bruksvagen-30a-2625869349795629907
Klarbärsgatan 5,Slavsta,Uppsala kommun,5800000,36024.84,12.0,,161.0,,5.0,231.0,/salda/villa-5rum-slavsta-uppsala-kommun-klarbarsgatan-5-3079283059446028740
Vikingagatan 30,Svartbäcken,Uppsala kommun,8825000,55156.25,1.0,,160.0,72.0,7.0,427.0,/salda/villa-7rum-svartbacken-uppsala-kommun-vikingagatan-30-3239812410368360179
